Video,Duong dan,Thoi gian,Bien so
1,D:/ANPR-main/result_data\vid1\Licenseplate_0_0.jpg,0.0,3A. 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_1_0.jpg,0.0,3A12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_2_0.jpg,0.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_3_0.jpg,0.0,3A12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_4_0.jpg,0.0,3A.12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_5_0.jpg,0.0,3A.12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_6_0.jpg,0.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_7_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_8_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_9_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_10_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_11_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_12_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_13_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_14_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_15_0.jpg,0.0,3OA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_16_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_17_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_18_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_19_0.jpg,0.0,BOA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_20_0.jpg,0.0,3OA 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_21_0.jpg,0.0,3A* 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_22_0.jpg,0.0,3A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_23_0.jpg,0.0,3A. 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_24_0.jpg,0.0,3A* 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_25_0.jpg,0.0,3A* 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_26_0.jpg,0.0,3A. 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_27_0.jpg,0.0,3A. 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_28_0.jpg,0.0,3A* 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_29_0.jpg,0.0,30A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_30_0.jpg,1.0,3A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_31_0.jpg,1.0,3A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_32_0.jpg,1.0,30A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_33_0.jpg,1.0,3A*12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_34_0.jpg,1.0,3A* 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_35_0.jpg,1.0,30A12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_36_0.jpg,1.0,3A*128.93
1,D:/ANPR-main/result_data\vid1\Licenseplate_37_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_38_0.jpg,1.0,3A  12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_39_0.jpg,1.0,3A  12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_40_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_41_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_42_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_43_0.jpg,1.0,3A.12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_44_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_45_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_46_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_47_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_48_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_49_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_50_0.jpg,1.0,3A 128.93
1,D:/ANPR-main/result_data\vid1\Licenseplate_51_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_52_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_53_0.jpg,1.0,3A 12893
1,D:/ANPR-main/result_data\vid1\Licenseplate_54_0.jpg,1.0,14J50q
1,D:/ANPR-main/result_data\vid1\Licenseplate_55_0.jpg,1.0,424 035041
1,D:/ANPR-main/result_data\vid1\Licenseplate_56_0.jpg,1.0,0403504
1,D:/ANPR-main/result_data\vid1\Licenseplate_57_0.jpg,1.0,Wa 035 04
1,D:/ANPR-main/result_data\vid1\Licenseplate_58_0.jpg,1.0,Wa-0J5 Och
1,D:/ANPR-main/result_data\vid1\Licenseplate_59_0.jpg,1.0,424-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_60_0.jpg,2.0,12a 03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_61_0.jpg,2.0,124-03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_62_0.jpg,2.0,1Za 035041
1,D:/ANPR-main/result_data\vid1\Licenseplate_63_0.jpg,2.0,12A-035 04
1,D:/ANPR-main/result_data\vid1\Licenseplate_64_0.jpg,2.0,124-03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_65_0.jpg,2.0,"[24-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_66_0.jpg,2.0,"12A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_67_0.jpg,2.0,I2a-035.04
1,D:/ANPR-main/result_data\vid1\Licenseplate_68_0.jpg,2.0,"124-035,041"
1,D:/ANPR-main/result_data\vid1\Licenseplate_69_0.jpg,2.0,[2A-03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_70_0.jpg,2.0,"021-035,041"
1,D:/ANPR-main/result_data\vid1\Licenseplate_71_0.jpg,2.0,424.035041
1,D:/ANPR-main/result_data\vid1\Licenseplate_72_0.jpg,2.0,"42A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_73_0.jpg,2.0,"124 .035,041"
1,D:/ANPR-main/result_data\vid1\Licenseplate_74_0.jpg,2.0,"[2A -035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_75_0.jpg,2.0,"024 035,041"
1,D:/ANPR-main/result_data\vid1\Licenseplate_76_0.jpg,2.0,"021 035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_77_0.jpg,2.0,"124-035,04|"
1,D:/ANPR-main/result_data\vid1\Licenseplate_78_0.jpg,2.0,[124.03504|
1,D:/ANPR-main/result_data\vid1\Licenseplate_79_0.jpg,2.0,"[2A-035,04|"
1,D:/ANPR-main/result_data\vid1\Licenseplate_80_0.jpg,2.0,"124 035,04|"
1,D:/ANPR-main/result_data\vid1\Licenseplate_81_0.jpg,2.0,"124.035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_82_0.jpg,2.0,"124.035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_83_0.jpg,2.0,124.035.0q]
1,D:/ANPR-main/result_data\vid1\Licenseplate_84_0.jpg,2.0,"124.035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_85_0.jpg,2.0,"I24.035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_86_0.jpg,2.0,124.035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_87_0.jpg,2.0,"[2A 035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_88_0.jpg,2.0,"12A 035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_89_0.jpg,2.0,"[2A -035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_90_0.jpg,3.0,"021-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_91_0.jpg,3.0,"124-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_92_0.jpg,3.0,124 -035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_93_0.jpg,3.0,124-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_94_0.jpg,3.0,[2A 035.0qr
1,D:/ANPR-main/result_data\vid1\Licenseplate_95_0.jpg,3.0,424-035.0511
1,D:/ANPR-main/result_data\vid1\Licenseplate_96_0.jpg,3.0,124-035.041
1,D:/ANPR-main/result_data\vid1\Licenseplate_97_0.jpg,3.0,121-035.00]
1,D:/ANPR-main/result_data\vid1\Licenseplate_98_0.jpg,3.0,121-035.04]
1,D:/ANPR-main/result_data\vid1\Licenseplate_99_0.jpg,3.0,"[24-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_100_0.jpg,3.0,"124-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_101_0.jpg,3.0,"02A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_102_0.jpg,3.0,[24-03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_103_0.jpg,3.0,124-03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_104_0.jpg,3.0,"1211035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_105_0.jpg,3.0,124 -035.04]
1,D:/ANPR-main/result_data\vid1\Licenseplate_106_0.jpg,3.0,02A-03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_107_0.jpg,3.0,12-035 04]
1,D:/ANPR-main/result_data\vid1\Licenseplate_108_0.jpg,3.0,12A-03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_109_0.jpg,3.0,"12A-035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_110_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_111_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_112_0.jpg,3.0,"12A-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_113_0.jpg,3.0,"424-035,00"
1,D:/ANPR-main/result_data\vid1\Licenseplate_114_0.jpg,3.0,124-03504]
1,D:/ANPR-main/result_data\vid1\Licenseplate_115_0.jpg,3.0,"12A*035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_116_0.jpg,3.0,"1241035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_117_0.jpg,3.0,"02A-035,00]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_118_0.jpg,3.0,"12A -035,04"
1,D:/ANPR-main/result_data\vid1\Licenseplate_119_0.jpg,3.0,124 03504
1,D:/ANPR-main/result_data\vid1\Licenseplate_120_0.jpg,4.0,"121-035,04]"
1,D:/ANPR-main/result_data\vid1\Licenseplate_121_0.jpg,4.0,"12A-035,04]"
